Age,CommuteDistance,EnglishEducation,EnglishOccupation,Gender,GeographyKey,HouseOwnerFlag,MaritalStatus,NumberCarsOwned,NumberChildrenAtHome,Region,TotalChildren,YearlyIncome,,,,,,,,,,,,,,,
49,1-2 Miles,Bachelors,Professional,M,26,1,M,0,0,Pacific,2,90000,,,,,,,,,,,,,,,
50,0-1 Miles,Bachelors,Professional,M,37,0,S,1,3,Pacific,3,60000,,,,,,,,,,,,,,,
50,2-5 Miles,Bachelors,Professional,M,31,1,M,1,3,Pacific,3,60000,,,,,,,,,,,,,,,
47,5-10 Miles,Bachelors,Professional,F,11,0,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
47,1-2 Miles,Bachelors,Professional,F,19,1,S,4,5,Pacific,5,80000,,,,,,,,,,,,,,,
50,5-10 Miles,Bachelors,Professional,M,22,1,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
49,5-10 Miles,Bachelors,Professional,F,8,1,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
51,0-1 Miles,Bachelors,Professional,M,40,1,M,2,3,Pacific,3,60000,,,,,,,,,,,,,,,
51,10+ Miles,Bachelors,Professional,F,32,1,S,3,4,Pacific,4,60000,,,,,,,,,,,,,,,
51,5-10 Miles,Bachelors,Professional,M,25,0,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
51,5-10 Miles,Bachelors,Professional,F,22,0,S,1,0,Pacific,0,70000,,,,,,,,,,,,,,,
51,10+ Miles,Bachelors,Professional,M,22,1,M,4,4,Pacific,4,60000,,,,,,,,,,,,,,,
47,1-2 Miles,Bachelors,Management,F,611,1,M,2,0,North America,2,100000,,,,,,,,,,,,,,,
47,0-1 Miles,Bachelors,Management,M,543,1,M,3,0,North America,2,100000,,,,,,,,,,,,,,,
47,1-2 Miles,Bachelors,Management,F,634,0,S,3,0,North America,3,100000,,,,,,,,,,,,,,,
36,5-10 Miles,Partial College,Skilled Manual,F,301,0,S,1,0,North America,0,30000,,,,,,,,,,,,,,,
36,5-10 Miles,Partial College,Skilled Manual,M,329,1,M,1,0,North America,0,30000,,,,,,,,,,,,,,,
71,5-10 Miles,High School,Skilled Manual,F,39,1,S,2,0,Pacific,4,20000,,,,,,,,,,,,,,,
70,5-10 Miles,Partial College,Clerical,M,32,1,S,2,0,Pacific,2,30000,,,,,,,,,,,,,,,
37,5-10 Miles,High School,Skilled Manual,M,52,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
36,1-2 Miles,High School,Skilled Manual,M,53,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
37,1-2 Miles,Partial College,Skilled Manual,F,536,0,S,1,0,North America,0,40000,,,,,,,,,,,,,,,
36,5-10 Miles,Partial College,Skilled Manual,M,609,1,M,1,0,North America,0,40000,,,,,,,,,,,,,,,
36,1-2 Miles,Partial College,Skilled Manual,M,298,1,M,1,0,North America,0,40000,,,,,,,,,,,,,,,
36,5-10 Miles,Partial College,Skilled Manual,M,311,1,M,2,0,North America,0,60000,,,,,,,,,,,,,,,
69,1-2 Miles,Partial High School,Clerical,M,24,1,M,2,1,Pacific,2,10000,,,,,,,,,,,,,,,
69,1-2 Miles,Partial College,Clerical,M,4,0,S,2,0,Pacific,2,30000,,,,,,,,,,,,,,,
68,5-10 Miles,Partial College,Clerical,M,40,1,M,2,0,Pacific,2,30000,,,,,,,,,,,,,,,
69,1-2 Miles,Partial College,Clerical,F,17,1,M,2,0,Pacific,2,30000,,,,,,,,,,,,,,,
68,1-2 Miles,Partial College,Clerical,M,32,1,M,2,0,Pacific,2,30000,,,,,,,,,,,,,,,
68,1-2 Miles,Partial High School,Clerical,F,28,1,M,2,1,Pacific,2,10000,,,,,,,,,,,,,,,
68,1-2 Miles,High School,Skilled Manual,F,8,1,M,2,0,Pacific,4,20000,,,,,,,,,,,,,,,
68,1-2 Miles,High School,Skilled Manual,F,35,1,M,2,0,Pacific,4,20000,,,,,,,,,,,,,,,
67,5-10 Miles,High School,Skilled Manual,M,9,1,M,2,0,Pacific,4,20000,,,,,,,,,,,,,,,
68,5-10 Miles,High School,Skilled Manual,F,12,1,M,2,0,Pacific,4,20000,,,,,,,,,,,,,,,
67,1-2 Miles,Partial High School,Clerical,F,33,1,M,2,1,Pacific,2,10000,,,,,,,,,,,,,,,
36,1-2 Miles,Partial College,Skilled Manual,F,343,1,M,2,0,North America,0,60000,,,,,,,,,,,,,,,
37,5-10 Miles,Partial High School,Clerical,F,49,0,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
67,5-10 Miles,Partial High School,Clerical,F,6,1,M,2,1,Pacific,2,10000,,,,,,,,,,,,,,,
66,5-10 Miles,Partial College,Clerical,M,19,1,M,2,0,Pacific,3,30000,,,,,,,,,,,,,,,
38,1-2 Miles,Partial College,Skilled Manual,M,642,1,M,2,0,North America,0,30000,,,,,,,,,,,,,,,
37,1-2 Miles,Partial College,Skilled Manual,F,325,1,M,2,0,North America,0,60000,,,,,,,,,,,,,,,
38,0-1 Miles,Partial College,Skilled Manual,F,338,1,M,2,0,North America,0,70000,,,,,,,,,,,,,,,
39,5-10 Miles,Partial College,Skilled Manual,M,325,1,M,2,0,North America,0,60000,,,,,,,,,,,,,,,
66,1-2 Miles,Partial High School,Clerical,M,25,1,M,2,1,Pacific,2,20000,,,,,,,,,,,,,,,
65,1-2 Miles,High School,Skilled Manual,M,8,0,S,2,0,Pacific,3,30000,,,,,,,,,,,,,,,
65,5-10 Miles,High School,Skilled Manual,F,6,1,M,2,0,Pacific,3,30000,,,,,,,,,,,,,,,
65,1-2 Miles,High School,Skilled Manual,F,34,0,M,2,0,Pacific,3,30000,,,,,,,,,,,,,,,
64,5-10 Miles,High School,Skilled Manual,M,39,1,M,2,0,Pacific,3,30000,,,,,,,,,,,,,,,
35,5-10 Miles,Partial High School,Clerical,F,307,1,S,2,0,North America,0,40000,,,,,,,,,,,,,,,
64,5-10 Miles,High School,Skilled Manual,M,31,1,M,2,0,Pacific,3,30000,,,,,,,,,,,,,,,
64,1-2 Miles,High School,Skilled Manual,M,21,0,S,2,0,Pacific,3,30000,,,,,,,,,,,,,,,
